Variable,Pregunta,Respuestas,ValorInterno,Valor,Open?
DISPULT,"Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a Internet a través de dispositivos móviles (teléfono móvil, tablet,...)?",DONDE,,,
FREQORD,¿Con qué frecuencia suele Vd. acceder a Internet a través de…? Ordenador (sobremesa o portátil),FREQ,,,
FREQMOV,¿Con qué frecuencia suele Vd. acceder a Internet a través de…? Teléfono móvil,FREQ,,,
FREQTABL,¿Con qué frecuencia suele Vd. acceder a Internet a través de…? Tablet,FREQ,,,
FREQTV,¿Con qué frecuencia suele Vd. acceder a Internet a través de…? Televisor,FREQ,,,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,-,NS/NC,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,0,NS/NC,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,1,Menos de 15 minutos,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,2,De 15 a 30 minutos,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,3,De 30 a 60 minutos,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,4,Entre 1 y 2 horas,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,5,Entre 2 y 4 horas,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,6,Entre 4 y 8 horas,
TIEMPO,A diario ¿cuánto tiempo diría Vd. que utiliza Internet?,,7,Más de 8 horas,
TIEMSOBR,A diario ¿cuánto tiempo estima que utiliza Internet a través de…… ordenador de sobremesa?,TIEMPO,,,
TIEMPORT,A diario ¿cuánto tiempo estima que utiliza Internet a través de…… ordenador portátil?,TIEMPO,,,
TIEMMOV,A diario ¿cuánto tiempo estima que utiliza Internet a través de…… teléfono móvil?,TIEMPO,,,
TIEMTABL,A diario ¿cuánto tiempo estima que utiliza Internet a través de…… tablet?,TIEMPO,,,
TIEMCONS,A diario ¿cuánto tiempo estima que utiliza Internet a través de…… videoconsola (sobremesa o portátil)?,TIEMPO,,,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,-,NS/NC,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,0,NS/NC,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,1,Varias veces al día,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,2,Todos o casi todos los días,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,3,Varias veces a la semana,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,4,Varias veces al mes,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,5,Con menor frecuencia,
FREQWIFI,"¿Con qué frecuencia se conecta a Internet a través de redes inalámbricas Wi-Fi desde lugares públicos (en la calle, aeropuertos, restaurantes, cafeterías,...)?",,6,Nunca ó prácticamente nunca,
ACCECASA,¿Accede a Internet desde su casa?,,-,NS/NC,
ACCECASA,¿Accede a Internet desde su casa?,,0,NS/NC,
ACCECASA,¿Accede a Internet desde su casa?,,1,"Sí, pagando",
ACCECASA,¿Accede a Internet desde su casa?,,2,"Sí, gratuitamente",
ACCECASA,¿Accede a Internet desde su casa?,,3,No,
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,-,NS/NC,
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,0,NS/NC,
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,1,ADSL / VDSL,
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,2,Red de cable / Fibra óptica,
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,3,"Módem USB móvil (""pincho"")",
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,4,Desde el teléfono móvil/tablet (vía red móvil),
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,5,Vía Satélite,
TIPO,"¿Qué tipo de acceso a Internet utiliza en su casa? Si usa varios, seleccione cuál utiliza más frecuentemente.",,9,A través de otros sistemas,
PAQUETE2,La suscripción a Internet en su casa ¿forma parte de un paquete más amplio de servicios combinados?,,1,"Sí, incluye televisión de pago",
PAQUETE4,La suscripción a Internet en su casa ¿forma parte de un paquete más amplio de servicios combinados?,,1,"Sí, incluye telefonía móvil ",
PAQUETE5,La suscripción a Internet en su casa ¿forma parte de un paquete más amplio de servicios combinados?,,1,"No, sólo incluye Internet/telefonía fija",
PAQUETNS,La suscripción a Internet en su casa ¿forma parte de un paquete más amplio de servicios combinados?,,1,NS/NC,
PROV1,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,1,Euskaltel,
PROV2,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,1,Jazztel,
PROV3,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,1,Movistar / Telefónica,
PROV5,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,1,Orange,
PROV6,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,1,R Galicia / Mundo R,
PROV7,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,1,Telecable Asturias,
PROV8,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,1,Vodafone / Ono,
COD2ISP1,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,<999,,
ISP21,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,Blanco,NS/NC,
COD2ISP2,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,<999,,
ISP22,¿Quién le proporciona el servicio de acceso a Internet desde su casa?,,Blanco,NS/NC,
VALISP2,Valore la atención al usuario recibida por su proveedor de Internet en casa (1=Muy malo ; 5=Muy bueno),,-,NS/NC,
VALISP2,Valore la atención al usuario recibida por su proveedor de Internet en casa (1=Muy malo ; 5=Muy bueno),,1,1,
VALISP2,Valore la atención al usuario recibida por su proveedor de Internet en casa (1=Muy malo ; 5=Muy bueno),,2,2,
VALISP2,Valore la atención al usuario recibida por su proveedor de Internet en casa (1=Muy malo ; 5=Muy bueno),,3,3,
VALISP2,Valore la atención al usuario recibida por su proveedor de Internet en casa (1=Muy malo ; 5=Muy bueno),,4,4,
VALISP2,Valore la atención al usuario recibida por su proveedor de Internet en casa (1=Muy malo ; 5=Muy bueno),,5,5,
CUANTO_1,"Durante el día de ayer, ¿cuánto tiempo estuvo utilizando Internet desde…casa?",TIEMPO,,,
CUANTO_2,"Durante el día de ayer, ¿cuánto tiempo estuvo utilizando Internet desde…lugares públicos (calle, aeropuerto, restaurante, cafetería, medio de transporte,…)?",TIEMPO,,,
PERI1,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,6:00-7:00,
PERI2,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,7:00-8:00,
PERI3,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,8:00-9:00,
PERI4,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,9:00-10:00,
PERI5,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,10:00-11:00,
PERI6,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,11:00-12:00,
PERI7,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,12:00-13:00,
PERI8,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,13:00-14:00,
PERI9,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,14:00-15:00,
PERI10,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,15:00-16:00,
PERI11,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,16:00-17:00,
PERI12,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,17:00-18:00,
PERI13,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,18:00-19:00,
PERI14,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,19:00-20:00,
PERI15,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,20:00-21:00,
PERI16,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,21:00-22:00,
PERI17,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,22:00-23:00,
PERI18,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,23:00-00:00,
PERI19,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,00:00-1:00,
PERI20,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,1:00-2:00,
PERI21,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,2:00-3:00,
PERI22,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,3:00-4:00,
PERI23,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,4:00-5:00,
PERI24,Indique los periodos horarios en que estuvo utilizando ayer Internet.,,1,5:00-6:00,
SERV1,"Durante el día de ayer, ¿qué servicios de Internet utilizó?",,1,Navegar por la web,
SERV2,"Durante el día de ayer, ¿qué servicios de Internet utilizó?",,1,Correo Electrónico (e-mail),
SERV3,"Durante el día de ayer, ¿qué servicios de Internet utilizó?",,1,Transferencia de Ficheros vía FTP,
SERV4,"Durante el día de ayer, ¿qué servicios de Internet utilizó?",,1,Mensajería instantánea,
SERV5,"Durante el día de ayer, ¿qué servicios de Internet utilizó?",,1,"Chats, IRC",
SERV6,"Durante el día de ayer, ¿qué servicios de Internet utilizó?",,1,"Intercambio de archivos P2P (eMule,...)",
SERV7,"Durante el día de ayer, ¿qué servicios de Internet utilizó?",,1,"Llamadas por Internet (telef. IP, Skype,…)",
PROBL1,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Velocidad,
PROBL2,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Seguridad,
PROBL3,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Coste,
PROBL4,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Calidad del acceso,
PROBL5,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Privacidad / Falta de confidencialidad,
PROBL6,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Idioma,
PROBL7,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Demasiada publicidad,
PROBL8,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Infección por virus o programa espía,
PROBL91,¿Cuáles son los mayores problemas que encuentra al utilizar Internet?,,1,Otros problemas,
PUBLICI_1,Me molesta más la publicidad en Internet que en otros medios,,-,NS/NC,
PUBLICI_1,Me molesta más la publicidad en Internet que en otros medios,,0,NS/NC,
PUBLICI_1,Me molesta más la publicidad en Internet que en otros medios,,1,Muy de acuerdo,
PUBLICI_1,Me molesta más la publicidad en Internet que en otros medios,,2,Bastante de acuerdo,
PUBLICI_1,Me molesta más la publicidad en Internet que en otros medios,,3,Poco de acuerdo,
PUBLICI_1,Me molesta más la publicidad en Internet que en otros medios,,4,Nada de acuerdo,
PUBLICI_2,La publicidad en Internet me resulta más interesante que en otros medios,PUBLICI_1,,,
PUBLICI_3,La publicidad es necesaria para que Internet se desarrolle,PUBLICI_1,,,
PUBLICI_4,Veo más útil la publicidad en Internet en comparación con otros medios,PUBLICI_1,,,
PUBLICI_5,No me importa recibir publicidad por Internet si puedo acceder a contenidos audiovisuales gratuitos,PUBLICI_1,,,
PUBLICI_6,Suelo fijarme en la publicidad en Internet,PUBLICI_1,,,
SOFINS1,¿Qué servicios de mensajería instantánea utiliza?,,1,No utilizo,
SOFINS2,¿Qué servicios de mensajería instantánea utiliza?,,1,AOL Instant Messenger (AIM),
SOFINS3,¿Qué servicios de mensajería instantánea utiliza?,,1,BlackBerry Messenger (BBM),
SOFINS4,¿Qué servicios de mensajería instantánea utiliza?,,1,Facebook Messenger/Facebook chat,
SOFINS5,¿Qué servicios de mensajería instantánea utiliza?,,1,Hangouts / Google Talk,
SOFINS6,¿Qué servicios de mensajería instantánea utiliza?,,1,Line,
SOFINS7,¿Qué servicios de mensajería instantánea utiliza?,,1,Pidgin,
SOFINS8,¿Qué servicios de mensajería instantánea utiliza?,,1,Skype,
SOFINS9,¿Qué servicios de mensajería instantánea utiliza?,,1,Telegram,
SOFINS10,¿Qué servicios de mensajería instantánea utiliza?,,1,Tuenti chat,
SOFINS11,¿Qué servicios de mensajería instantánea utiliza?,,1,WhatsApp,
SOFINS12,¿Qué servicios de mensajería instantánea utiliza?,,1,Yahoo Messenger,
CODSOFI1,¿Qué servicios de mensajería instantánea utiliza?,,<999,,
SOFI1,¿Qué servicios de mensajería instantánea utiliza?,,Blanco,NS/NC,
CODSOFI2,¿Qué servicios de mensajería instantánea utiliza?,,<999,,
SOFI2,¿Qué servicios de mensajería instantánea utiliza?,,Blanco,NS/NC,
CODSOFI3,¿Qué servicios de mensajería instantánea utiliza?,,<999,,
SOFI3,¿Qué servicios de mensajería instantánea utiliza?,,Blanco,NS/NC,
ANTIVIR_1,Indique si tiene instalado algún programa antivirus actualizado en su: ordenador (sobremesa o portátil),,-,NS/NC,
ANTIVIR_1,Indique si tiene instalado algún programa antivirus actualizado en su: ordenador (sobremesa o portátil),,0,NS/NC,
ANTIVIR_1,Indique si tiene instalado algún programa antivirus actualizado en su: ordenador (sobremesa o portátil),,1,Sí,
ANTIVIR_1,Indique si tiene instalado algún programa antivirus actualizado en su: ordenador (sobremesa o portátil),,2,No,
ANTIVIR_1,Indique si tiene instalado algún programa antivirus actualizado en su: ordenador (sobremesa o portátil),,3,No lo sé,
ANTIVIR_2,Indique si tiene instalado algún programa antivirus actualizado en su: teléfono móvil personal ,ANTIVIR_1,,,
ANTIVIR_3,Indique si tiene instalado algún programa antivirus actualizado en su: tablet ,ANTIVIR_1,,,
VIRUS,"En el último año, ¿se ha visto afectado por algún virus informático o programa espía procedente de Internet?",,-,NS/NC,
VIRUS,"En el último año, ¿se ha visto afectado por algún virus informático o programa espía procedente de Internet?",,0,NS/NC,
VIRUS,"En el último año, ¿se ha visto afectado por algún virus informático o programa espía procedente de Internet?",,1,No,
VIRUS,"En el último año, ¿se ha visto afectado por algún virus informático o programa espía procedente de Internet?",,2,"Sí, sin consecuencias ",
VIRUS,"En el último año, ¿se ha visto afectado por algún virus informático o programa espía procedente de Internet?",,3,Sí y me creó problemas en el equipo,
PARENT1,¿Utiliza en su casa algún sistema para impedir o controlar el acceso de niños a determinados contenidos de Internet?,,1,"Sí, programas de filtro/bloqueo de contenidos o control parental",
PARENT2,¿Utiliza en su casa algún sistema para impedir o controlar el acceso de niños a determinados contenidos de Internet?,,1,"Sí, control personal (horarios, web visitadas,…)",
PARENT3,¿Utiliza en su casa algún sistema para impedir o controlar el acceso de niños a determinados contenidos de Internet?,,1,No,
PARENTNS,¿Utiliza en su casa algún sistema para impedir o controlar el acceso de niños a determinados contenidos de Internet?,,1,NS/NC,
REDULT,Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a una red social de Internet?,,-,NS/NC,
REDULT,Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a una red social de Internet?,,0,NS/NC,
REDULT,Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a una red social de Internet?,,1,Ayer,
REDULT,Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a una red social de Internet?,,2,Últimos 7 días,
REDULT,Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a una red social de Internet?,,3,Últimos 30 días,
REDULT,Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a una red social de Internet?,,4,Último año,
REDULT,Sin contar el día de hoy ¿cuándo ha sido la última vez que ha accedido a una red social de Internet?,,5,Hace más tiempo / Nunca,
REDTIEMP,"Habitualmente, en un día ¿cuánto tiempo dedica a las redes sociales?",TIEMPO,,,
RED1,¿Qué redes sociales utiliza?,,1,Badoo,
RED2,¿Qué redes sociales utiliza?,,1,Facebook,
RED3,¿Qué redes sociales utiliza?,,1,Flickr,
RED4,¿Qué redes sociales utiliza?,,1,FourSquare,
RED5,¿Qué redes sociales utiliza?,,1,Google+/Google plus,
RED6,¿Qué redes sociales utiliza?,,1,Habbo,
RED7,¿Qué redes sociales utiliza?,,1,Hi5,
RED8,¿Qué redes sociales utiliza?,,1,Instagram,
RED9,¿Qué redes sociales utiliza?,,1,ChatHispano / IRC Hispano,
RED10,¿Qué redes sociales utiliza?,,1,MySpace,
RED11,¿Qué redes sociales utiliza?,,1,LinkedIn,
RED12,¿Qué redes sociales utiliza?,,1,Pinterest,
RED13,¿Qué redes sociales utiliza?,,1,Tuenti,
RED14,¿Qué redes sociales utiliza?,,1,Tumblr,
RED15,¿Qué redes sociales utiliza?,,1,Twitter,
RED16,¿Qué redes sociales utiliza?,,1,Xing,
RED90,¿Qué redes sociales utiliza?,,1,Otras,
REDNS,¿Qué redes sociales utiliza?,,1,NS/NC,
REDUSO1, ¿Para qué utiliza las redes sociales?,,1,Relaciones de amistad,
REDUSO2, ¿Para qué utiliza las redes sociales?,,1,Relaciones familiares,
REDUSO3, ¿Para qué utiliza las redes sociales?,,1,Relaciones profesionales,
REDUSO4, ¿Para qué utiliza las redes sociales?,,1,Hobbies,
REDUSO5, ¿Para qué utiliza las redes sociales?,,1,Búsqueda de pareja/Citas,
REDUSO6, ¿Para qué utiliza las redes sociales?,,1,Estar informado de la actualidad,
REDUSO7, ¿Para qué utiliza las redes sociales?,,1,Otros ,
REDUSONS, ¿Para qué utiliza las redes sociales?,,1,NS/NC,
REDACTIV,¿Cuál es su grado de actividad en las redes sociales?,,-,NS/NC,
REDACTIV,¿Cuál es su grado de actividad en las redes sociales?,,0,NS/NC,
REDACTIV,¿Cuál es su grado de actividad en las redes sociales?,,1,Bastante actividad,
REDACTIV,¿Cuál es su grado de actividad en las redes sociales?,,2,Algo de actividad ,
REDACTIV,¿Cuál es su grado de actividad en las redes sociales?,,3,Poca actividad ,
REDACTIV,¿Cuál es su grado de actividad en las redes sociales?,,4,Sin actividad / Casi sin actividad,
REDSEG1,Indique si en la redes sociales sigue a algún/a…,,1,Medio de comunicación,
REDSEG2,Indique si en la redes sociales sigue a algún/a…,,1,Periodista,
REDSEG3,Indique si en la redes sociales sigue a algún/a…,,1,Empresa ó marca,
REDSEG4,Indique si en la redes sociales sigue a algún/a…,,1,Programa de televisión,
REDSEG5,Indique si en la redes sociales sigue a algún/a…,,1,"Gente conocida (cantantes, políticos, deportistas,...)",
REDSEG6,Indique si en la redes sociales sigue a algún/a…,,1,Ninguno de los anteriores,
REDSEGNS,Indique si en la redes sociales sigue a algún/a…,,1,NS/NC,
BLOG1,Durante los últimos 30 días ¿ha accedido a algún blog?,,1,No,
BLOG2,Durante los últimos 30 días ¿ha accedido a algún blog?,,1,"Sí, de carácter profesional",
BLOG3,Durante los últimos 30 días ¿ha accedido a algún blog?,,1,"Sí, de otro tipo",
BLOGNS,Durante los últimos 30 días ¿ha accedido a algún blog?,,1,NS/NC,
CONTEN1,En los últimos 30 días ¿ha subido Vd. contenidos a la web a nivel personal?,,1,"Sí, fotos",
CONTEN2,En los últimos 30 días ¿ha subido Vd. contenidos a la web a nivel personal?,,1,"Sí, vídeos",
CONTEN3,En los últimos 30 días ¿ha subido Vd. contenidos a la web a nivel personal?,,1,"Sí, comentarios, opiniones u otros textos",
CONTEN4,En los últimos 30 días ¿ha subido Vd. contenidos a la web a nivel personal?,,1,"Sí, música/ficheros de audio",
CONTEN5,En los últimos 30 días ¿ha subido Vd. contenidos a la web a nivel personal?,,1,"Sí, otro tipo de contenidos",
CONTEN6,En los últimos 30 días ¿ha subido Vd. contenidos a la web a nivel personal?,,1,No,
CONTENNS,En los últimos 30 días ¿ha subido Vd. contenidos a la web a nivel personal?,,1,NS/NC,
WEBCHAT,¿Utiliza algún webchat para conocer gente?,,-,NS/NC,
WEBCHAT,¿Utiliza algún webchat para conocer gente?,,0,NS/NC,
WEBCHAT,¿Utiliza algún webchat para conocer gente?,,1,Sí,
WEBCHAT,¿Utiliza algún webchat para conocer gente?,,2,No,
ALMACE,"¿Utiliza servicios de almacenamiento de archivos online ""en la nube"" (tipo Dropbox, iCloud, OneDrive, Google Drive,…)?",,-,NS/NC,
ALMACE,"¿Utiliza servicios de almacenamiento de archivos online ""en la nube"" (tipo Dropbox, iCloud, OneDrive, Google Drive,…)?",,0,NS/NC,
ALMACE,"¿Utiliza servicios de almacenamiento de archivos online ""en la nube"" (tipo Dropbox, iCloud, OneDrive, Google Drive,…)?",,1,Sí,
ALMACE,"¿Utiliza servicios de almacenamiento de archivos online ""en la nube"" (tipo Dropbox, iCloud, OneDrive, Google Drive,…)?",,2,No,
SOFTCORR_WEB,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,A TRAVÉS DE WEB (WEBMAIL) (TOTAL),
SOFTCORR_PROG,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,A TRAVÉS DE PROGRAMA (TOTAL),
SOFTCORR1,¿Qué cliente/s de correo electrónico utiliza habitualmente?,,1,No dispongo de email,
